Tripleurospermum maritimum	669858	species
Valeriana sambucifolia	669861	species
Viola epipsila	669863	species
Cirsium heterophyllum	675739	species
Viscaria	692066	genus
Pusa	693430	genus
Gnaphalium uliginosum	702247	species
Galium uliginosum	715724	species
Hymenophyllum wilsonii	723550	species
Festuca vivipara	745661	species
Euphrasia frigida	762980	species
Mus	862507	genus
Woodsia ilvensis	872911	species
Atriplex glabriuscula	880653	species
Lepidotheca suaveolens	883867	species
Carex adelostoma	912374	species
Carex salina	912502	species
Arenaria norvegica	940194	species
Galeopsis tetrahit	1000418	species
Rumex longifolius	1075208	species
Stellaria humifusa	1137906	species
Alchemilla filicaulis	1155247	species
Alchemilla glabra	1155248	species
Atriplex longipes	1155253	species
Sagina nodosa	1155358	species
Sedum annuum	1239890	species
Stellaria	1297112	genus
Woodsia alpina	1303118	species
Elymus kronokensis	1521454	species
Ajuga pyramidalis	1532252	species
Epilobium collinum	1532802	species
Alchemilla wichurae	1572674	species
Ophioglossum azoricum	1581413	species
Sesleria albicans	1589910	species
Omalotheca	1754163	genus
Omalotheca sylvatica	1754164	species
Alchemilla subcrenata	1844630	species
Galium normanii	1891488	species
Erysimum strictum	2044562	species
Galeopsis	2138267	genus
Hierochloe odorata	2592077	species
Deschampsia beringensis	2820164	species
